dotnet-runtime-6.0 6.0.36.sdk136-2
dotnet-sdk 9.0.4.sdk105-1
dotnet-targeting-pack 9.0.4.sdk105-1
double-conversion 3.3.1-1
dpkg 1.22.18-1
dtc 1.7.2-3
duktape 2.7.0-7
dune 3.17.2-1
dunst 1.12.2-1
e2fsprogs 1.47.2-2
easyeffects 7.2.3-2
ebook-tools 0.2.2-8
editorconfig-core-c 0.12.9-1
edk2-ovmf 202411-1
efibootmgr 18-3
efivar 39-1
egl-wayland 4:1.1.19-1
eglexternalplatform 1.2.1-1
elfutils 0.192-4
ell 0.76-1
enchant 2.8.2-2
eog 47.0-1
evince 48.0-2
evolution-data-server 3.56.1-1
evtest 1.35-2
exempi 2.6.6-1
exfatprogs 1.2.8-1
exiv2 0.28.5-1
exo 4.20.0-2
expat 2.7.1-1
eza 0.21.2-1
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.1-1
fastfetch 2.42.0-1
fcft 3.3.1-1
ffmpeg 2:7.1-10
ffmpeg4.4 4.4.5-4
ffmpegthumbnailer 2.2.3-3
fftw 3.3.10-7
figlet 2.2.5-6
file 5.46-4
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 137.0.2-1
fish 4.0.2-1
flac 1.5.0-1
flatpak 1:1.16.0-2
flex 2.6.4-5
fluidsynth 2.4.5-3
fmt 11.1.4-1
folks 0.15.9-1
fontconfig 2:2.16.2-1
frameworkintegration 6.13.0-1
freeglut 3.6.0-1
freerdp 2:3.15.0-1
freetype2 2.13.3-3
frei0r-plugins 2.3.3-3
fribidi 1.0.16-1
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fuzzel 1.12.0-1
fzf 0.61.3-1
gapi-ocaml 0.4.5-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
gdm 48.0-1
gegl 0.4.58-1
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.24-1
ghostscript 10.05.0-3
giflib 5.2.2-2
gimp 3.0.2-2
git 2.49.0-1
gjs 2:1.84.2-1
glib-networking 1:2.80.1-1
glib2 2.84.1-1
glib2-devel 2.84.1-1
glibc 2.41+r47+g046b33800c3e-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glslang 15.2.0-2
glu 9.0.3-2
glycin 1.2.1-1
gmp 6.3.0-2
gnome-app-list 3.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 48.0-1
gnome-bluetooth-3.0 47.1-1
gnome-boxes 48.0-3
gnome-calculator 48.1-1
gnome-calendar 48.1-1
gnome-characters 48.0-1
gnome-clocks 48.0-1
gnome-color-manager 3.36.2-1
gnome-connections 48.0-5
gnome-console 48.0.1-1
gnome-contacts 48.0-1
gnome-control-center 48.1-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-disk-utility 46.1-2
gnome-font-viewer 48.0-1
gnome-keybindings 48.1-1
gnome-keyring 1:48.0-1
